School Code,School Code Adjusted,School Name,KYReportCard URL
275610,275610,Shelby Academy,https://reportcard.kyschools.us/kysrc?organization=20232024:275:275610
275103,275103,Slaughter Elementary,https://reportcard.kyschools.us/kysrc?organization=20232024:275:275103
275087,275087,Smyrna Elementary School,https://reportcard.kyschools.us/kysrc?organization=20232024:275:275087
275031,275031,Southern High,https://reportcard.kyschools.us/kysrc?organization=20232024:275:275031
275064,275064,St Matthews Elementary,https://reportcard.kyschools.us/kysrc?organization=20232024:275:275064
275071,275071,Stonestreet Elementary,https://reportcard.kyschools.us/kysrc?organization=20232024:275:275071
275211,275211,Stopher Elementary,https://reportcard.kyschools.us/kysrc?organization=20232024:275:275211
275144,275144,Stuart Academy,https://reportcard.kyschools.us/kysrc?organization=20232024:275:275144
275090,275090,Thomas Jefferson Middle,https://reportcard.kyschools.us/kysrc?organization=20232024:275:275090
275104,275104,Trunnell Elementary,https://reportcard.kyschools.us/kysrc?organization=20232024:275:275104
275016,275016,Tully Elementary,https://reportcard.kyschools.us/kysrc?organization=20232024:275:275016
275033,275033,Valley High,https://reportcard.kyschools.us/kysrc?organization=20232024:275:275033
275051,275051,Waggener High,https://reportcard.kyschools.us/kysrc?organization=20232024:275:275051
275072,275072,Watterson Elementary,https://reportcard.kyschools.us/kysrc?organization=20232024:275:275072
275116,275116,Wellington Elementary,https://reportcard.kyschools.us/kysrc?organization=20232024:275:275116
275084,275084,Western High,https://reportcard.kyschools.us/kysrc?organization=20232024:275:275084
275710,275710,Western Middle School for the Arts,https://reportcard.kyschools.us/kysrc?organization=20232024:275:275710
275077,275077,Westport Middle,https://reportcard.kyschools.us/kysrc?organization=20232024:275:275077
275109,275109,Wheeler Elementary,https://reportcard.kyschools.us/kysrc?organization=20232024:275:275109
275374,275374,Young Elementary,https://reportcard.kyschools.us/kysrc?organization=20232024:275:275374
275067,275067,Wilder Elementary,https://reportcard.kyschools.us/kysrc?organization=20232024:275:275067
275066,275066,Wilkerson Elementary School,https://reportcard.kyschools.us/kysrc?organization=20232024:275:275066
275117,275117,Wilt Elementary,https://reportcard.kyschools.us/kysrc?organization=20232024:275:275117
275078,275078,Zachary Taylor Elementary,https://reportcard.kyschools.us/kysrc?organization=20232024:275:275078
275155,2751551,Marion C. Moore School,https://reportcard.kyschools.us/kysrc?organization=20232024:275:275155
275155,2751552,Marion C. Moore School,https://reportcard.kyschools.us/kysrc?organization=20232024:275:275155
275165,2751650,J. Graham Brown School,https://reportcard.kyschools.us/kysrc?organization=20232024:275:275165
275165,2751651,J. Graham Brown School,https://reportcard.kyschools.us/kysrc?organization=20232024:275:275165
275165,2751652,J. Graham Brown School,https://reportcard.kyschools.us/kysrc?organization=20232024:275:275165
275191,2751911,W.E.B. DuBois Academy,https://reportcard.kyschools.us/kysrc?organization=20232024:275:275191
275191,2751912,W.E.B. DuBois Academy,https://reportcard.kyschools.us/kysrc?organization=20232024:275:275191
275590,2755901,The Academy @ Shawnee,https://reportcard.kyschools.us/kysrc?organization=20232024:275:275590
275590,2755902,The Academy @ Shawnee,https://reportcard.kyschools.us/kysrc?organization=20232024:275:275590
275800,2758001,Grace M. James Academy of Excellence,https://reportcard.kyschools.us/kysrc?organization=20232024:275:275800
275800,2758002,Grace M. James Academy of Excellence,https://reportcard.kyschools.us/kysrc?organization=20232024:275:275800
